DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
38,2.98636
80,2.98636
87,2.98636
29,4.30709
136,2.98636
142,2.98636
25,13.4969
169,102.99155999999999
148,2.98636
104,2.98636
161,2.98636
33,2.98636
14,13.4969
154,2.98636
63,2.98636
85,2.98636
86,2.98636
162,2.98636
8,2.98636
124,2.98636
165,2.98636
107,2.98636
123,2.98636
95,2.98636
117,362.1626600000001
109,360.37239
91,2.98636
47,2.98636
172,2.98636
58,2.98636
129,2.98636
157,2.98636
119,2.98636
7,2.98636
153,2.98636
26,13.4969
23,13.4969
73,2.98636
67,2.98636
20,4.30709
36,2.98636
133,2.98636
128,2.98636
145,2.98636
164,2.98636
35,2.98636
17,4.30709
79,2.98636
116,13.4969
105,2.98636
159,2.98636
16,4.30709
31,2.98636
19,4.30709
186,2.98636
51,2.98636
46,2.98636
28,4.30709
82,2.98636
30,4.30709
48,2.98636
99,2.98636
65,2.98636
166,2.98636
81,2.98636
21,13.4969
98,2.98636
127,2.98636
118,360.37239
183,2.98636
72,2.98636
103,2.98636
88,2.98636
102,2.98636
44,4.30709
62,2.98636
141,2.98636
185,2.98636
4,2.08105
77,2.98636
106,2.98636
130,2.98636
174,2.98636
152,2.98636
69,2.98636
135,2.98636
160,2.98636
12,4.30709
45,2.98636
112,2.98636
24,4.30709
84,2.98636
41,2.98636
163,2.98636
39,2.98636
150,2.98636
15,13.4969
53,2.98636
137,2.98636
32,2.98636
43,4.30709
134,2.98636
108,360.37239
66,2.98636
178,7.61888
113,2.98636
22,13.4969
9,5.50999
57,2.98636
34,2.98636
138,2.98636
100,2.98636
122,2.98636
71,2.98636
74,2.98636
92,2.98636
55,2.98636
158,2.98636
179,7.61888
89,2.98636
114,13.4969
175,24.14258
155,2.98636
184,2.98636
125,2.98636
93,2.98636
126,2.98636
177,7.61888
56,2.98636
76,2.98636
140,2.98636
60,2.98636
83,2.98636
68,2.98636
97,2.98636
115,2.98636
121,2.98636
139,2.98636
110,360.37239
94,2.98636
131,2.98636
144,2.98636
42,2.98636
75,2.98636
6,2.98636
5,15.4598
59,2.98636
146,2.98636
10,6.29047
151,2.98636
156,2.98636
171,2.98636
167,2.98636
111,2.98636
11,13.4969
90,2.98636
64,2.98636
101,2.98636
147,2.98636
70,2.98636
149,2.98636
49,2.98636
120,2.98636
27,13.4969
132,2.98636
61,2.98636
143,2.98636
54,2.98636
78,2.98636
37,2.98636
50,2.98636
170,102.99155999999999
96,2.98636
18,4.30709
173,2.98636
168,2.98636
52,2.98636
40,2.98636
13,4.30709
