DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
28,4.91671
63,4.91671
77,4.91671
59,4.91671
24,4.91671
42,4.91671
159,4.91671
35,4.91671
1,2.49987
142,4.91671
72,4.91671
85,4.91671
135,4.91671
57,4.91671
169,71.971624
178,4.895440000000001
163,4.91671
150,4.91671
95,4.91671
186,4.91671
176,2.49987
175,17.743499999999997
5,11.91363
47,4.91671
25,30.136850000000003
8,4.91671
107,4.91671
67,4.91671
13,4.91671
155,4.91671
141,4.91671
146,4.91671
41,4.91671
172,4.91671
104,4.91671
56,4.91671
3,2.49987
53,4.91671
166,4.91671
52,4.91671
180,2.49987
171,4.91671
128,4.91671
23,30.136850000000003
108,167.10978
162,4.91671
76,4.91671
26,30.136850000000003
110,167.10978
165,4.91671
153,4.91671
161,4.91671
80,4.91671
43,4.91671
102,4.91671
137,4.91671
164,4.91671
39,4.91671
79,4.91671
33,4.91671
78,4.91671
181,2.49987
120,4.91671
45,4.91671
87,4.91671
131,4.91671
29,4.91671
105,4.91671
86,4.91671
12,4.91671
55,4.91671
126,4.91671
170,70.17287400000001
81,4.91671
68,4.91671
140,4.91671
143,4.91671
99,4.91671
144,4.91671
2,2.49987
151,4.91671
7,4.91671
147,4.91671
113,4.91671
31,4.91671
66,4.91671
36,4.91671
129,4.91671
121,4.91671
127,4.91671
74,4.91671
149,4.91671
27,30.136850000000003
64,4.91671
89,4.91671
145,4.91671
88,4.91671
136,4.91671
168,4.91671
118,167.10978
11,30.136850000000003
117,170.39936
91,4.91671
97,4.91671
98,4.91671
182,2.49987
94,4.91671
65,4.91671
185,4.91671
40,4.91671
134,4.91671
51,4.91671
154,4.91671
58,4.91671
22,30.136850000000003
167,4.91671
138,4.91671
174,4.91671
10,4.91671
50,4.91671
132,4.91671
125,4.91671
111,4.91671
60,4.91671
4,2.49987
158,4.91671
49,4.91671
6,4.91671
183,4.91671
16,4.91671
37,4.91671
32,5.850186000000001
83,4.91671
21,30.136850000000003
100,4.91671
177,4.895440000000001
179,4.895440000000001
69,4.91671
9,6.09413
122,4.91671
115,4.91671
15,30.136850000000003
109,167.10978
112,4.91671
48,4.91671
119,4.91671
61,4.91671
93,4.91671
14,30.136850000000003
18,4.91671
44,4.91671
82,4.91671
30,4.91671
152,4.91671
173,4.91671
46,4.91671
34,4.91671
139,4.91671
90,4.91671
20,4.91671
101,4.91671
133,4.91671
96,4.91671
62,4.91671
184,4.91671
70,4.91671
148,4.91671
71,4.91671
187,2.49987
17,4.91671
38,4.91671
160,4.91671
157,4.91671
19,4.91671
124,4.91671
123,4.91671
103,4.91671
54,4.91671
92,4.91671
156,4.91671
73,4.91671
130,4.91671
106,4.91671
84,4.91671
75,4.91671
