DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
133,47.6935
51,47.6935
72,47.6935
13,50.1094
173,47.6935
57,47.6935
122,47.6935
147,47.6935
24,50.1094
167,47.6935
150,47.6935
91,47.6935
14,0.548948
140,47.6935
172,47.6935
11,0.548948
108,250.685883
61,47.6935
60,47.6935
62,47.6935
8,47.6935
142,47.6935
139,47.6935
179,112.97279999999999
114,0.548948
84,47.6935
123,47.6935
151,47.6935
107,47.6935
113,47.6935
115,47.6935
22,0.548948
21,0.548948
156,47.6935
23,0.548948
75,47.6935
100,47.6935
132,47.6935
15,0.548948
101,47.6935
46,47.6935
168,47.6935
174,47.6935
177,112.97279999999999
85,47.6935
164,47.6935
102,47.6935
25,0.548948
81,47.6935
49,47.6935
37,47.6935
105,47.6935
127,47.6935
41,47.6935
154,47.6935
98,47.6935
86,47.6935
158,47.6935
178,112.97279999999999
163,47.6935
135,47.6935
131,47.6935
28,50.1094
66,47.6935
53,47.6935
35,47.6935
96,47.6935
32,47.6935
27,0.548948
7,47.6935
40,47.6935
90,47.6935
137,47.6935
93,47.6935
6,47.6935
120,47.6935
130,47.6935
67,47.6935
63,47.6935
36,47.6935
48,47.6935
116,0.548948
94,47.6935
141,47.6935
95,47.6935
68,47.6935
56,47.6935
161,47.6935
52,47.6935
99,47.6935
170,34.851713000000004
54,47.6935
38,47.6935
117,675.0008829999999
87,47.6935
16,50.1094
43,50.1094
183,47.6935
157,47.6935
31,47.6935
145,47.6935
159,47.6935
19,50.1094
143,47.6935
153,47.6935
70,47.6935
121,47.6935
136,47.6935
88,47.6935
112,47.6935
89,47.6935
20,50.1094
29,50.1094
69,47.6935
128,47.6935
152,47.6935
26,0.548948
103,47.6935
45,47.6935
50,47.6935
155,47.6935
146,47.6935
186,47.6935
144,47.6935
12,50.1094
83,47.6935
34,47.6935
134,47.6935
169,34.851713000000004
55,47.6935
104,47.6935
126,47.6935
110,250.685883
80,47.6935
4,9.51672
119,47.6935
44,50.1094
92,47.6935
138,47.6935
125,47.6935
30,50.1094
79,47.6935
129,47.6935
78,47.6935
33,47.6935
109,250.685883
118,250.685883
160,47.6935
82,47.6935
58,47.6935
10,54.17512
64,47.6935
5,4.90669
74,47.6935
184,47.6935
9,51.99396
162,47.6935
106,47.6935
111,47.6935
65,47.6935
166,47.6935
165,47.6935
59,47.6935
77,47.6935
18,50.1094
76,47.6935
47,47.6935
124,47.6935
42,47.6935
149,47.6935
71,47.6935
97,47.6935
171,47.6935
39,47.6935
185,47.6935
175,5.773304
73,47.6935
17,50.1094
148,47.6935
