DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
86,21.039
24,21.039
138,21.039
180,37.9275
136,21.039
37,21.039
69,21.039
89,21.039
63,21.039
140,21.039
173,21.039
100,21.039
53,21.039
78,21.039
38,21.039
129,21.039
160,21.039
95,21.039
23,1.040045
76,21.039
157,21.039
79,21.039
45,21.039
30,21.039
150,21.039
137,21.039
91,21.039
17,21.039
75,21.039
60,21.039
1,37.9275
135,21.039
130,21.039
124,21.039
127,21.039
186,21.039
68,21.039
183,21.039
108,22.835527000000003
170,9.080704999999998
110,22.835527000000003
27,1.040045
165,21.039
2,37.9275
92,21.039
154,21.039
155,21.039
46,21.039
115,21.039
163,21.039
14,1.040045
117,22.835527000000003
175,39.275263
71,21.039
145,21.039
35,21.039
182,37.9275
26,1.040045
147,21.039
132,21.039
50,21.039
169,9.080704999999998
104,21.039
49,21.039
152,21.039
62,21.039
15,1.040045
120,21.039
12,21.039
16,21.039
77,21.039
123,21.039
151,21.039
178,37.9275
54,21.039
176,37.9275
29,21.039
5,39.01841
55,21.039
72,21.039
139,21.039
33,21.039
112,21.039
85,21.039
73,21.039
64,21.039
144,21.039
80,21.039
21,1.040045
156,21.039
125,21.039
161,21.039
59,21.039
131,21.039
119,21.039
166,21.039
111,21.039
141,21.039
6,21.039
164,21.039
74,21.039
102,21.039
105,21.039
96,21.039
4,37.9275
7,21.039
81,21.039
52,21.039
172,21.039
48,21.039
106,21.039
101,21.039
11,1.040045
19,21.039
174,21.039
187,37.9275
168,21.039
107,21.039
153,21.039
184,21.039
133,21.039
142,21.039
113,21.039
87,21.039
84,21.039
56,21.039
34,21.039
47,21.039
61,21.039
146,21.039
3,37.9275
167,21.039
171,21.039
109,22.835527000000003
82,21.039
143,21.039
31,21.039
177,52.848800000000004
25,1.040045
51,21.039
66,21.039
9,21.039
162,21.039
36,21.039
134,21.039
32,21.039
121,21.039
122,21.039
18,21.039
44,21.039
20,21.039
65,21.039
185,21.039
58,21.039
70,21.039
22,1.040045
118,25.598227
179,52.848800000000004
40,21.039
159,21.039
83,21.039
149,21.039
43,21.039
57,21.039
13,21.039
158,21.039
8,21.039
88,21.039
28,21.039
42,21.039
41,21.039
99,21.039
67,21.039
94,21.039
93,21.039
128,21.039
39,21.039
126,21.039
181,37.9275
97,21.039
98,21.039
103,21.039
90,21.039
10,22.06351
148,21.039
